date,tasks_created,overdue_last_3d,high_priority,avg_duration,active_today,label_zaval
2025-06-22,7,2,0,3.65,2,0
2025-06-23,5,1,2,4.12,6,0
2025-06-24,3,0,0,4.53,2,0
2025-06-25,5,1,2,2.38,6,0
2025-06-26,3,3,3,3.32,11,1
2025-06-27,5,2,1,2.97,5,0
2025-06-28,5,2,2,3.42,5,0
2025-06-29,5,1,2,3.11,3,0
2025-06-30,5,0,1,3.94,4,0
2025-07-01,6,0,2,1.61,4,0
2025-07-02,2,1,1,1.82,3,0
2025-07-03,0,1,2,4.54,6,1
2025-07-04,3,2,2,2.02,3,0
2025-07-05,3,2,1,2.35,4,0
2025-07-06,3,1,2,2.7,2,0
2025-07-07,4,0,0,1.95,3,0
2025-07-08,4,1,1,2.04,4,0
2025-07-09,3,5,4,1.56,9,1
2025-07-10,2,2,1,4.91,3,0
2025-07-11,4,1,0,2.63,3,0
2025-07-12,3,0,2,3.18,2,0
2025-07-13,3,4,4,2.39,8,1
2025-07-14,5,0,0,2.93,4,0
2025-07-15,5,1,2,4.3,4,0
2025-07-16,6,5,5,3.12,9,1
2025-07-17,6,2,2,4.79,2,0
2025-07-18,7,2,2,2.22,6,0
2025-07-19,2,1,0,2.89,6,0
2025-07-20,0,5,3,3.59,9,1
2025-07-21,4,1,2,3.12,4,0
2025-07-22,1,3,4,4.55,9,1
2025-07-23,3,0,0,1.86,3,0
2025-07-24,7,0,1,1.69,6,0
2025-07-25,4,0,1,3.18,2,0
2025-07-26,3,2,2,2.59,4,0
2025-07-27,6,4,4,2.55,8,1
2025-07-28,3,1,2,1.63,4,0
2025-07-29,5,1,0,2.14,4,0
2025-07-30,2,1,1,2.05,4,0
2025-07-31,2,0,0,1.86,4,0
2025-08-01,2,3,5,4.49,11,1
2025-08-02,2,0,1,3.72,6,0
2025-08-03,7,0,2,4.41,5,0
2025-08-04,5,0,1,4.63,6,0
2025-08-05,3,2,0,4.42,2,0
2025-08-06,1,0,1,1.91,6,0
2025-08-07,3,3,3,2.42,8,1
2025-08-08,7,5,4,4.86,11,1
2025-08-09,4,3,5,3.64,9,1
2025-08-10,3,2,2,4.45,6,0
2025-08-11,2,2,1,4.05,2,0
2025-08-12,6,1,0,4.71,4,0
2025-08-13,8,2,0,2.27,5,0
2025-08-14,3,2,1,3.94,2,0
2025-08-15,5,1,2,3.59,6,0
2025-08-16,6,4,5,4.08,8,1
2025-08-17,1,0,1,4.55,5,1
2025-08-18,1,0,1,1.68,4,1
2025-08-19,5,3,5,2.74,8,1
2025-08-20,1,4,4,4.96,8,1
2025-08-21,3,0,0,2.96,5,0
2025-08-22,4,2,1,2.31,6,0
2025-08-23,3,5,4,1.7,8,1
2025-08-24,7,0,0,3.68,4,0
2025-08-25,4,4,3,4.48,9,1
2025-08-26,3,5,3,3.94,8,1
2025-08-27,2,4,4,4.48,8,1
2025-08-28,7,1,0,4.48,4,0
2025-08-29,3,2,0,4.59,2,0
2025-08-30,3,2,2,4.36,3,0
2025-08-31,7,2,1,4.16,6,0
2025-09-01,3,2,2,2.55,6,0
2025-09-02,1,4,4,4.48,8,1
2025-09-03,3,2,0,1.58,5,0
2025-09-04,0,2,2,2.06,3,0
2025-09-05,4,2,0,3.88,2,0
2025-09-06,3,3,4,4.88,11,1
2025-09-07,3,0,2,1.61,4,0
2025-09-08,7,2,2,1.61,5,0
2025-09-09,0,1,2,3.59,2,0
2025-09-10,3,3,4,4.29,11,1
2025-09-11,2,0,0,3.6,6,0
2025-09-12,2,0,1,2.35,2,0
2025-09-13,2,4,4,2.64,11,1
2025-09-14,3,0,0,4.92,6,0
2025-09-15,1,2,1,3.73,3,0
2025-09-16,8,4,3,3.44,10,1
2025-09-17,1,1,1,3.04,4,0
2025-09-18,6,0,0,2.07,6,1
2025-09-19,3,0,0,1.61,4,0
2025-09-20,5,1,0,4.53,3,0
2025-09-21,6,0,1,3.68,5,0
2025-09-22,4,2,1,4.49,5,0
2025-09-23,3,3,5,2.87,9,1
2025-09-24,0,1,2,3.56,6,0
2025-09-25,5,2,2,3.07,4,0
2025-09-26,6,0,1,4.52,5,0
2025-09-27,2,1,1,3.74,3,0
2025-09-28,2,5,3,4.95,8,1
2025-09-29,5,2,1,3.36,3,0
2025-09-30,4,4,4,4.54,11,1
2025-10-01,2,4,3,2.35,10,1
2025-10-02,7,2,0,2.72,5,0
2025-10-03,7,2,0,3.84,2,0
2025-10-04,5,0,2,3.63,4,0
2025-10-05,3,0,0,3.61,2,0
2025-10-06,6,1,0,3.34,4,0
2025-10-07,5,2,2,4.84,3,0
2025-10-08,2,0,0,2.5,4,0
2025-10-09,5,2,1,4.51,5,0
2025-10-10,3,5,3,4.36,9,1
2025-10-11,0,0,1,3.73,4,0
2025-10-12,5,1,0,2.56,3,0
2025-10-13,3,2,1,2.09,2,0
2025-10-14,2,2,0,2.22,2,0
2025-10-15,5,3,3,4.01,8,1
2025-10-16,6,2,1,2.9,4,0
2025-10-17,4,2,0,3.57,2,0
2025-10-18,6,4,5,3.47,9,1
2025-10-19,4,0,0,2.55,2,0
2025-10-20,2,1,0,4.19,5,0
2025-10-21,5,1,1,1.91,3,0
2025-10-22,5,0,0,3.3,3,0
2025-10-23,4,1,0,4.57,5,0
2025-10-24,1,2,1,2.04,2,0
2025-10-25,4,1,1,4.64,2,0
2025-10-26,4,2,0,1.78,2,0
2025-10-27,3,3,5,1.56,9,1
2025-10-28,3,2,2,4.14,4,0
2025-10-29,1,5,5,2.56,8,1
2025-10-30,6,3,5,4.6,11,1
2025-10-31,4,0,2,2.96,4,0
2025-11-01,5,5,3,2.2,9,1
2025-11-02,4,3,5,2.03,8,1
2025-11-03,5,1,2,3.81,2,0
2025-11-04,6,0,0,2.29,3,0
2025-11-05,3,0,2,1.8,6,0
2025-11-06,8,5,3,3.42,8,1
2025-11-07,5,1,1,2.39,5,0
2025-11-08,3,3,4,4.93,10,1
2025-11-09,1,0,2,1.89,5,0
2025-11-10,2,5,4,4.75,11,1
2025-11-11,8,2,1,4.45,2,0
2025-11-12,3,2,1,3.9,4,1
2025-11-13,6,2,2,4.56,5,0
2025-11-14,0,2,1,2.36,3,0
2025-11-15,4,2,1,2.74,3,0
2025-11-16,2,1,1,4.12,3,0
2025-11-17,7,2,2,3.93,4,1
2025-11-18,4,0,0,2.29,5,0
2025-11-19,1,4,4,2.63,9,1
2025-11-20,6,2,1,4.07,6,0
2025-11-21,7,0,2,2.93,5,0
2025-11-22,3,0,1,1.58,6,0
2025-11-23,3,3,5,2.82,8,1
2025-11-24,5,0,0,4.23,3,1
2025-11-25,2,4,3,2.49,10,1
2025-11-26,6,4,5,2.05,10,1
2025-11-27,4,2,1,2.33,3,0
2025-11-28,2,2,2,4.06,6,0
2025-11-29,4,5,5,2.14,9,1
2025-11-30,4,3,5,2.91,9,1
2025-12-01,3,2,1,2.08,2,0
2025-12-02,5,1,1,2.75,3,0
2025-12-03,4,0,2,4.57,6,0
2025-12-04,4,2,0,2.7,2,0
2025-12-05,2,2,1,3.04,5,0
2025-12-06,5,3,3,3.45,8,1
2025-12-07,4,5,3,2.77,10,1
2025-12-08,6,2,0,3.2,5,0
2025-12-09,2,1,1,3.46,3,0
2025-12-10,4,1,1,4.16,6,0
2025-12-11,4,0,0,1.81,3,0
2025-12-12,8,1,0,1.94,4,0
2025-12-13,3,2,2,2.69,2,0
2025-12-14,1,5,5,3.79,8,1
2025-12-15,6,0,2,3.06,2,0
2025-12-16,3,1,2,4.09,4,0
2025-12-17,3,3,5,4.87,9,1
2025-12-18,4,2,2,1.84,2,0
2025-12-19,1,3,4,4.06,10,1
2025-12-20,6,2,1,3.0,2,0
2025-12-21,3,0,2,1.83,6,0
2025-12-22,1,0,1,1.79,2,0
2025-12-23,6,2,0,3.29,4,0
2025-12-24,5,0,2,2.39,5,0
2025-12-25,4,1,2,3.64,4,0
2025-12-26,4,3,3,3.12,9,1
2025-12-27,1,1,1,4.36,4,0
2025-12-28,6,0,2,2.88,4,0
2025-12-29,5,0,0,3.73,6,1
2025-12-30,5,5,3,3.59,10,1
2025-12-31,3,0,0,3.88,5,0
2026-01-01,1,1,1,2.04,3,0
2026-01-02,2,0,1,1.54,6,0
2026-01-03,6,3,5,2.86,8,1
2026-01-04,8,2,0,3.54,2,0
2026-01-05,2,0,2,4.62,3,0
2026-01-06,1,3,4,2.85,11,1
2026-01-07,5,2,0,3.91,2,0
2026-01-08,1,2,2,2.23,4,0
2026-01-09,2,2,1,4.42,4,0
2026-01-10,4,2,2,1.61,5,0
2026-01-11,6,0,0,2.18,2,1
2026-01-12,3,0,2,3.69,5,0
2026-01-13,5,0,2,4.48,5,0
2026-01-14,3,2,2,4.11,6,0
2026-01-15,6,3,4,2.81,9,1
2026-01-16,7,3,4,3.61,11,1
2026-01-17,3,2,0,4.46,4,0
2026-01-18,2,4,5,4.07,10,1
2026-01-19,8,1,0,4.97,4,0
2026-01-20,8,2,1,3.65,4,1
2026-01-21,2,1,1,1.89,5,0
2026-01-22,3,1,0,4.45,6,0
2026-01-23,3,1,1,4.31,3,0
2026-01-24,4,2,1,2.25,6,0
2026-01-25,3,2,0,2.35,3,0
2026-01-26,3,2,1,2.49,5,0
2026-01-27,2,2,0,4.24,5,0
2026-01-28,3,0,2,4.76,3,0
2026-01-29,7,3,5,3.9,9,1
2026-01-30,1,0,2,2.08,2,0
2026-01-31,6,0,2,3.24,2,0
2026-02-01,2,2,2,4.51,3,0
2026-02-02,6,2,1,1.98,2,0
2026-02-03,4,1,0,1.7,5,0
2026-02-04,0,2,0,2.83,3,0
2026-02-05,4,4,4,3.12,10,1
2026-02-06,5,1,1,1.56,2,0
2026-02-07,5,1,0,3.82,6,0
2026-02-08,4,2,0,4.65,4,0
2026-02-09,6,1,0,4.87,5,1
2026-02-10,8,2,1,3.75,5,0
2026-02-11,3,1,1,4.76,5,0
2026-02-12,8,4,3,2.13,9,1
2026-02-13,6,2,1,3.81,6,0
2026-02-14,3,2,1,2.25,2,1
2026-02-15,8,5,3,2.31,10,1
2026-02-16,3,0,2,1.53,5,0
2026-02-17,2,1,2,3.3,4,0
2026-02-18,3,5,3,2.89,8,1
2026-02-19,7,2,0,4.26,2,0
2026-02-20,4,2,1,4.44,5,0
2026-02-21,6,3,3,4.16,9,1
2026-02-22,6,5,5,3.57,10,1
2026-02-23,1,5,5,1.74,9,1
2026-02-24,2,0,0,4.04,4,0
2026-02-25,2,2,1,4.76,2,0
2026-02-26,2,0,0,4.91,6,0
2026-02-27,1,0,2,2.59,4,0
2026-02-28,5,0,0,2.8,6,0
2026-03-01,3,2,1,4.14,6,1
2026-03-02,2,4,3,3.61,8,1
2026-03-03,6,3,5,2.13,8,1
2026-03-04,6,4,3,2.67,10,1
2026-03-05,5,2,0,4.25,2,0
2026-03-06,4,2,2,3.46,5,0
2026-03-07,3,0,0,4.87,4,0
2026-03-08,6,2,2,2.6,3,0
2026-03-09,0,2,2,3.86,4,1
2026-03-10,5,1,0,2.36,4,0
2026-03-11,2,3,5,4.81,9,1
2026-03-12,6,1,2,3.08,4,0
2026-03-13,5,4,3,2.42,11,1
2026-03-14,5,3,5,4.74,11,1
2026-03-15,4,3,4,4.88,11,1
2026-03-16,4,4,3,2.11,8,1
2026-03-17,7,3,4,1.55,8,1
2026-03-18,5,0,0,3.83,5,0
2026-03-19,6,1,2,3.56,5,0
2026-03-20,3,1,1,4.69,5,1
2026-03-21,1,1,0,3.11,4,0
2026-03-22,5,2,1,3.3,3,0
2026-03-23,6,2,1,1.62,3,0
2026-03-24,5,1,2,4.39,4,0
2026-03-25,3,0,0,2.24,5,0
2026-03-26,2,1,1,1.75,2,0
2026-03-27,3,2,2,4.74,6,0
2026-03-28,7,0,0,3.27,6,0
2026-03-29,3,0,0,4.28,2,0
2026-03-30,0,2,1,2.54,2,0
2026-03-31,1,1,2,4.02,6,0
2026-04-01,4,1,1,3.72,2,0
2026-04-02,2,4,5,2.67,9,1
2026-04-03,5,2,0,3.25,2,0
2026-04-04,6,1,0,4.18,6,0
2026-04-05,0,2,0,4.27,2,1
2026-04-06,8,2,0,1.95,6,0
2026-04-07,4,0,2,4.31,4,0
2026-04-08,6,4,4,4.96,11,1
2026-04-09,3,3,5,1.74,9,1
2026-04-10,7,2,2,1.86,3,1
2026-04-11,6,0,1,4.1,3,0
2026-04-12,7,4,3,3.16,9,1
2026-04-13,4,1,2,2.16,2,1
2026-04-14,6,2,1,3.35,3,0
2026-04-15,6,1,0,1.81,4,0
2026-04-16,3,0,0,3.83,6,0
2026-04-17,4,2,2,3.97,6,0
2026-04-18,4,2,0,2.94,4,0
2026-04-19,1,5,3,1.78,10,1
2026-04-20,3,1,1,1.52,3,0
2026-04-21,6,0,1,3.59,4,0
2026-04-22,8,2,0,2.77,4,0
2026-04-23,5,5,3,3.73,11,1
2026-04-24,3,2,1,4.23,3,0
2026-04-25,6,1,1,4.09,4,1
2026-04-26,7,0,1,4.08,2,0
2026-04-27,6,2,2,2.72,5,0
2026-04-28,2,0,1,2.24,6,0
2026-04-29,4,1,1,1.53,5,0
2026-04-30,2,3,4,3.86,11,1
2026-05-01,4,3,4,1.85,9,1
2026-05-02,4,2,1,2.11,6,0
2026-05-03,3,2,2,4.04,3,0
2026-05-04,6,0,2,3.21,3,0
2026-05-05,5,1,2,1.94,5,0
2026-05-06,8,0,1,4.49,4,0
2026-05-07,6,2,0,4.79,3,0
2026-05-08,4,2,2,4.56,6,0
2026-05-09,2,3,3,2.31,10,1
2026-05-10,3,3,5,2.52,8,1
2026-05-11,1,4,5,4.2,10,1
2026-05-12,8,2,1,3.76,3,0
2026-05-13,1,1,2,3.43,6,0
2026-05-14,2,0,2,4.04,4,0
2026-05-15,4,2,1,4.2,5,0
2026-05-16,3,0,2,2.49,3,0
2026-05-17,7,3,5,4.6,9,1
2026-05-18,5,1,0,4.28,4,0
2026-05-19,5,5,3,1.72,9,1
2026-05-20,3,5,5,1.71,9,1
2026-05-21,4,1,2,4.53,4,0
2026-05-22,5,2,2,2.15,3,0
2026-05-23,4,0,1,3.59,6,0
2026-05-24,1,3,4,2.26,8,1
2026-05-25,6,5,4,4.39,8,1
2026-05-26,2,0,1,3.55,6,0
2026-05-27,7,1,0,2.98,5,0
2026-05-28,1,4,3,1.68,11,1
2026-05-29,6,2,1,2.73,6,0
2026-05-30,5,0,1,1.99,3,0
2026-05-31,1,0,0,3.88,6,1
2026-06-01,4,1,1,4.75,6,0
2026-06-02,3,5,5,2.31,10,1
2026-06-03,2,1,0,2.74,6,0
2026-06-04,1,1,0,4.68,5,0
2026-06-05,3,3,4,2.6,10,1
2026-06-06,2,2,2,2.6,3,1
2026-06-07,2,2,1,4.8,4,0
2026-06-08,4,3,5,3.51,9,1
2026-06-09,5,2,2,4.5,4,0
2026-06-10,5,0,1,2.57,4,0
2026-06-11,3,3,5,2.1,8,1
2026-06-12,2,0,1,1.56,3,0
2026-06-13,4,1,1,2.48,4,0
2026-06-14,2,4,4,1.6,10,1
2026-06-15,4,1,0,1.52,5,1
2026-06-16,4,2,2,4.36,5,0
2026-06-17,2,4,3,4.13,10,1
2026-06-18,3,3,3,3.5,8,1
2026-06-19,4,2,2,2.1,5,0
2026-06-20,5,2,2,2.3,3,0
2026-06-21,2,5,5,1.66,8,1
2026-06-22,2,2,0,3.06,3,0
2026-06-23,6,4,4,3.0,10,1
2026-06-24,2,0,1,1.85,6,0
2026-06-25,6,2,0,1.71,2,0
2026-06-26,6,5,3,2.47,10,1
2026-06-27,6,0,1,1.93,5,0
2026-06-28,3,4,4,1.79,8,1
2026-06-29,8,5,4,1.59,8,1
2026-06-30,4,1,1,4.0,6,0
2026-07-01,5,0,0,4.74,2,0
2026-07-02,5,5,5,1.83,9,1
2026-07-03,4,2,1,1.5,6,0
2026-07-04,4,2,1,2.83,6,0
2026-07-05,2,0,2,4.96,2,0
2026-07-06,5,1,2,3.89,5,0
2026-07-07,8,5,5,1.59,8,1
2026-07-08,4,5,3,3.17,8,1
2026-07-09,5,0,2,3.24,4,0
2026-07-10,3,4,3,4.63,9,1
2026-07-11,5,5,3,2.61,11,1
2026-07-12,6,3,3,3.43,9,1
2026-07-13,2,1,2,3.27,2,0
2026-07-14,3,0,2,2.86,5,0
2026-07-15,6,1,1,2.91,2,0
2026-07-16,2,3,4,3.43,11,1
2026-07-17,2,0,0,3.35,4,0
2026-07-18,2,0,1,3.01,5,0
2026-07-19,4,4,4,4.4,11,1
2026-07-20,4,0,2,1.64,6,0
2026-07-21,0,2,1,4.63,6,0
2026-07-22,1,1,2,2.29,2,0
2026-07-23,1,1,2,2.16,6,0
2026-07-24,4,1,0,4.3,5,0
2026-07-25,1,1,1,2.37,2,0
2026-07-26,2,5,5,3.62,8,1
2026-07-27,3,2,1,2.15,4,0
2026-07-28,5,1,2,1.59,6,0
2026-07-29,4,2,0,4.66,5,0
2026-07-30,1,1,2,1.94,2,0
2026-07-31,4,0,0,2.5,4,0
2026-08-01,2,5,5,2.67,11,1
2026-08-02,4,4,5,1.84,9,1
2026-08-03,3,5,4,3.03,9,1
2026-08-04,5,2,2,2.93,4,0
2026-08-05,5,4,5,2.13,9,1
2026-08-06,4,2,1,3.71,4,0
2026-08-07,3,2,2,2.56,6,0
2026-08-08,3,1,0,2.6,4,0
2026-08-09,2,5,5,2.66,9,1
2026-08-10,4,0,2,2.97,6,0
2026-08-11,3,0,1,2.62,3,0
2026-08-12,3,3,5,3.32,8,1
2026-08-13,9,0,0,2.44,2,0
2026-08-14,4,4,3,4.03,8,1
2026-08-15,0,0,1,2.76,5,0
2026-08-16,3,0,0,3.97,2,0
2026-08-17,5,2,1,2.31,6,0
2026-08-18,1,5,3,2.96,8,1
2026-08-19,5,0,2,2.81,3,0
2026-08-20,4,5,4,2.22,11,1
2026-08-21,3,1,2,1.52,3,0
2026-08-22,4,0,2,1.59,2,0
2026-08-23,7,1,2,3.92,3,0
2026-08-24,3,0,2,1.72,2,0
2026-08-25,7,5,4,3.97,11,1
2026-08-26,5,1,2,2.18,4,0
2026-08-27,8,0,1,3.97,5,0
2026-08-28,2,5,4,2.72,9,1
2026-08-29,7,2,2,1.7,4,0
2026-08-30,4,0,1,4.94,3,0
2026-08-31,7,4,3,2.47,11,1
2026-09-01,4,3,5,2.82,9,1
2026-09-02,1,0,0,4.7,3,0
2026-09-03,4,2,0,3.29,4,0
2026-09-04,3,0,1,4.13,2,0
2026-09-05,6,1,1,3.37,6,1
2026-09-06,5,1,1,1.52,3,0
2026-09-07,4,5,4,3.38,11,1
2026-09-08,5,4,5,2.66,8,1
2026-09-09,8,5,4,1.57,11,1
2026-09-10,2,0,0,4.08,6,0
2026-09-11,7,1,1,2.82,5,0
2026-09-12,4,2,2,3.76,3,0
2026-09-13,3,1,2,2.41,3,0
2026-09-14,3,0,2,4.93,4,0
2026-09-15,5,1,2,4.33,4,1
2026-09-16,4,1,1,2.19,3,0
2026-09-17,4,3,5,1.88,9,1
2026-09-18,1,2,0,2.61,5,1
2026-09-19,1,2,0,2.54,2,1
2026-09-20,3,1,0,4.88,5,0
2026-09-21,3,0,1,4.71,6,0
2026-09-22,5,0,0,3.13,5,0
2026-09-23,6,1,0,4.17,3,0
2026-09-24,8,2,0,2.91,3,0
2026-09-25,4,0,2,3.59,5,0
2026-09-26,6,5,5,3.66,11,1
2026-09-27,2,1,0,2.75,5,0
2026-09-28,7,1,2,2.12,4,0
2026-09-29,5,1,1,4.22,6,0
2026-09-30,4,5,4,1.65,8,1
2026-10-01,7,2,1,4.04,3,0
2026-10-02,1,2,0,3.98,5,0
2026-10-03,7,1,0,3.35,4,0
2026-10-04,7,1,0,1.74,5,0
2026-10-05,2,0,0,2.68,3,0
2026-10-06,2,3,5,2.68,9,1
2026-10-07,2,3,4,1.87,10,1
2026-10-08,3,1,2,1.92,3,1
2026-10-09,4,4,5,2.88,8,1
2026-10-10,3,2,1,2.78,6,1
2026-10-11,6,2,1,2.21,3,0
2026-10-12,5,4,3,4.48,8,1
2026-10-13,5,1,2,2.88,5,0
2026-10-14,3,2,1,4.02,5,0
2026-10-15,4,2,1,2.29,5,0
2026-10-16,5,3,3,4.95,11,1
2026-10-17,1,2,0,4.36,3,0
2026-10-18,7,3,4,4.78,11,1
2026-10-19,4,3,5,2.59,11,1
2026-10-20,7,1,2,4.54,3,0
2026-10-21,5,2,0,1.7,3,0
2026-10-22,2,2,1,4.6,2,0
2026-10-23,3,1,2,3.92,5,0
2026-10-24,5,5,5,4.01,11,1
2026-10-25,6,1,1,4.04,5,0
2026-10-26,3,4,3,3.14,11,1
2026-10-27,4,1,0,1.53,3,1
2026-10-28,2,1,0,3.08,3,0
2026-10-29,3,2,0,1.58,2,0
2026-10-30,1,5,3,4.24,11,1
2026-10-31,6,4,3,3.65,9,1
2026-11-01,3,1,2,3.53,5,0
2026-11-02,2,3,3,2.04,8,1
2026-11-03,2,1,0,4.88,5,0
2026-11-04,0,0,0,4.34,2,0
2026-11-05,2,5,4,3.37,9,1
2026-11-06,5,2,0,4.92,6,0
2026-11-07,7,0,0,2.85,5,0
2026-11-08,4,2,0,3.27,4,0
2026-11-09,4,4,5,4.55,11,1
2026-11-10,3,4,5,3.53,9,1
2026-11-11,6,2,2,2.11,4,0
2026-11-12,2,3,4,2.6,10,1
2026-11-13,6,0,1,3.88,3,0
2026-11-14,3,2,2,4.45,3,1
2026-11-15,2,1,2,2.2,4,0
2026-11-16,3,1,1,3.28,2,0
2026-11-17,4,2,2,3.01,4,1
2026-11-18,5,0,2,2.12,2,0
2026-11-19,5,2,2,3.82,4,0
2026-11-20,0,0,0,2.41,6,0
2026-11-21,2,0,1,3.07,3,0
2026-11-22,2,2,0,4.75,3,0
2026-11-23,3,2,1,3.25,3,0
2026-11-24,2,4,5,3.02,8,1
2026-11-25,3,4,5,3.55,9,1
2026-11-26,5,1,1,1.76,6,0
2026-11-27,6,5,4,4.08,10,1
2026-11-28,6,3,4,2.28,10,1
2026-11-29,4,1,1,3.78,3,0
2026-11-30,1,1,2,3.57,4,0
2026-12-01,8,1,1,4.12,6,0
2026-12-02,1,1,0,1.99,4,0
2026-12-03,6,2,2,3.06,6,0
2026-12-04,3,2,1,2.7,6,0
2026-12-05,5,4,4,1.94,8,1
2026-12-06,4,1,2,4.07,6,0
2026-12-07,6,2,0,1.77,6,0
2026-12-08,2,0,2,3.81,6,0
2026-12-09,2,2,0,3.53,2,0
2026-12-10,2,2,1,4.72,5,0
2026-12-11,3,5,3,4.14,10,1
2026-12-12,1,2,0,4.94,4,0
2026-12-13,4,5,5,4.67,10,1
2026-12-14,3,4,3,4.36,11,1
2026-12-15,3,2,0,4.07,3,0
2026-12-16,2,0,1,2.26,3,1
2026-12-17,7,3,4,4.93,9,1
2026-12-18,5,2,1,3.01,4,0
2026-12-19,7,0,1,1.51,3,0
2026-12-20,3,1,1,4.64,6,0
2026-12-21,1,1,1,4.68,3,0
2026-12-22,6,0,0,4.92,6,0
2026-12-23,3,4,5,1.82,9,1
2026-12-24,4,2,1,1.75,5,1
2026-12-25,5,5,4,2.76,11,1
2026-12-26,8,2,2,3.71,4,0
2026-12-27,3,4,4,3.27,8,1
2026-12-28,3,3,5,3.91,11,1
2026-12-29,1,1,2,2.98,4,0
2026-12-30,3,2,0,3.52,3,0
2026-12-31,5,0,2,3.2,2,0
2027-01-01,5,1,1,4.7,3,0
2027-01-02,2,2,2,3.68,4,0
2027-01-03,5,2,0,4.95,5,0
2027-01-04,5,3,5,4.9,10,1
2027-01-05,2,3,4,4.96,11,1
2027-01-06,2,2,2,2.94,3,0
2027-01-07,7,4,3,4.1,11,1
2027-01-08,6,3,5,4.2,9,1
2027-01-09,4,0,0,4.32,4,0
2027-01-10,6,5,3,3.26,10,1
2027-01-11,2,3,5,4.84,10,1
2027-01-12,5,2,0,2.1,5,0
2027-01-13,4,0,0,1.92,4,0
2027-01-14,3,0,1,2.96,2,0
2027-01-15,2,1,1,3.68,5,0
2027-01-16,4,0,2,3.58,6,0
2027-01-17,5,1,1,4.83,6,0
2027-01-18,2,2,0,3.44,6,0
2027-01-19,4,1,0,2.34,4,0
2027-01-20,4,1,0,1.79,6,0
2027-01-21,3,2,0,3.82,2,0
2027-01-22,8,2,0,2.16,2,0
2027-01-23,3,4,4,1.62,11,1
2027-01-24,4,3,4,1.9,8,1
2027-01-25,5,5,5,2.2,10,1
2027-01-26,0,2,1,1.86,5,0
2027-01-27,5,2,2,1.83,3,1
2027-01-28,2,0,2,1.72,4,0
2027-01-29,4,3,4,4.05,10,1
2027-01-30,2,1,0,1.68,2,0
2027-01-31,1,5,5,4.59,9,1
2027-02-01,3,1,1,4.31,6,0
2027-02-02,1,4,5,2.2,9,1
2027-02-03,4,2,2,4.63,2,0
2027-02-04,6,3,4,4.76,11,1
2027-02-05,3,4,4,3.98,11,1
2027-02-06,1,4,5,4.85,11,1
2027-02-07,5,3,5,3.78,9,1
2027-02-08,3,2,2,2.95,6,0
2027-02-09,4,3,4,2.86,11,1
2027-02-10,6,3,5,1.68,10,1
2027-02-11,3,2,0,3.57,4,0
2027-02-12,5,3,5,3.49,9,1
2027-02-13,4,1,0,4.54,3,0
2027-02-14,5,2,1,3.05,3,0
2027-02-15,5,2,2,3.47,2,0
2027-02-16,2,4,5,3.05,8,1
2027-02-17,2,0,2,4.01,4,0
2027-02-18,3,1,1,3.76,2,0
2027-02-19,3,2,1,3.31,6,1
2027-02-20,4,1,1,3.13,3,0
2027-02-21,3,0,1,4.71,5,0
2027-02-22,5,4,5,3.36,8,1
